Time,ECG
1622007941.8374853,1.3688999999999998
1622007941.8378186,1.0404
1622007941.8380127,0.7224999999999999
1622007941.8382277,0.7395999999999999
1622007941.8384116,0.9025
1622007941.8386104,0.8649000000000001
1622007941.8388052,0.6561000000000001
1622007941.8389862,0.5625
1622007941.8391988,0.5776
1622007941.8393962,0.6723999999999999
1622007941.8396215,0.7395999999999999
1622007941.839824,0.6723999999999999
1622007941.840023,0.5184
1622007941.8402066,0.4489000000000001
1622007941.8403993,0.3721
1622007941.8405619,0.27040000000000003
1622007941.8407352,0.1369
1622007941.8409948,1.9043999999999996
1622007941.8411717,1.9320999999999997
1622007941.8413584,1.6641000000000001
1622007941.8415613,1.3688999999999998
1622007941.8417473,1.0404
1622007941.8419497,0.7224999999999999
1622007941.842129,0.7395999999999999
1622007941.8423235,0.9025
1622007941.8425047,0.8649000000000001
1622007941.8426778,0.6561000000000001
1622007941.8428185,0.5625
1622007941.8429906,0.5776
1622007941.843178,0.6723999999999999
1622007941.8433628,0.7395999999999999
1622007941.8435514,0.6723999999999999
1622007941.8437028,0.5184
1622007941.8438833,0.4489000000000001
1622007941.8440404,0.3721
1622007941.844217,0.27040000000000003
1622007941.844384,0.1369
1622007943.3850038,0.2304
1622007943.389074,0.5328999999999999
1622007943.3973026,0.7569
1622007943.401444,0.8649000000000001
1622007943.4096203,0.9409
1622007943.4133704,0.9801
1622007943.421787,1.0201
1622007943.4258904,1.0404
1622007943.434073,1.0609
1622007943.4378698,1.0609
1622007943.4460251,1.0816000000000001
1622007943.4542837,1.0816000000000001
1622007943.458369,1.1025
1622007943.466874,1.1025
1622007943.4706955,1.1236000000000002
1622007943.4791687,1.1664
1622007943.4829566,1.1881000000000002
1622007943.4909785,1.2768999999999997
1622007943.4951441,1.3224999999999998
1622007943.5034013,1.4161
1622007943.5074613,1.5876000000000001
1622007943.515627,1.8496000000000004
1622007943.5196402,2.0448999999999997
1622007943.5280216,2.1904
1622007943.5319629,2.2801
1622007943.540334,2.3409
1622007943.5444334,2.5600000000000005
1622007943.5525944,2.8223999999999996
1622007943.556449,2.8560999999999996
1622007943.5649586,2.8560999999999996
1622007943.5688193,2.8899999999999997
1622007943.5772324,2.9583999999999997
1622007943.5813692,3.1684
1622007943.5895326,3.4596000000000005
1622007943.593667,3.6864
1622007943.6019626,3.9601
1622007943.6101086,4.040099999999999
1622007943.6140833,3.8024999999999998
1622007943.6221209,3.6481
1622007943.6262898,3.5343999999999998
1622007943.634417,3.3856
1622007943.6386003,3.2041
1622007943.646636,3.1329000000000002
1622007943.650775,3.2041
1622007943.658803,3.2041
1622007943.662883,3.1329000000000002
1622007943.6711664,2.9929
1622007943.675298,2.7224999999999997
1622007943.6836069,2.5921000000000003
1622007943.6877263,2.8899999999999997
1622007943.6959813,4.1616
1622007943.6998024,6.864400000000001
1622007943.70794,10.758399999999998
1622007943.7123616,13.7641
1622007943.7205362,13.690000000000001
1622007943.7246542,10.956100000000001
1622007943.7328293,7.290000000000001
1622007943.7366695,4.4521
1622007943.7451584,2.7224999999999997
1622007943.7533422,1.8225000000000002
1622007943.7572978,1.3456
1622007943.7654662,1.0609
1622007943.769577,0.8835999999999999
1622007943.7777283,0.81
1622007943.7818825,0.7569
1622007943.789905,0.7224999999999999
1622007943.7939599,0.7055999999999999
1622007943.8025188,0.7055999999999999
1622007943.8066266,0.7569
1622007943.8146012,0.8281000000000001
1622007943.818783,0.9409
1622007943.827208,1.0816000000000001
1622007943.830977,1.2321000000000002
1622007943.8392534,1.3688999999999998
1622007943.8432758,1.5376
1622007943.851604,1.7161000000000002
